Board_State,Optimal_Moves
XOXOXOOX ,8
XOXOXO XO,6
XOXOXO X ,
XOXOXO   ,6 8
XOXOXXOO ,8
XOXOXXO O,7
XOXOXXO  ,8
XOXOX OXO,5
XOXOX OX ,8
XOXOX O  ,8
XOXOXX OO,6
XOXOXX O ,
XOXOX  O ,6 8
XOXOXX  O,6
XOXOX  XO,6
XOXOX   O,6
XOXOX    ,
XOXOOXX O,7
XOXOOXX  ,7
XOXOOXOX ,8
XOXOOX XO,6
XOXOOX X ,8
XOXOOX   ,8
XOXO XOXO,4
XOXO XOX ,8
XOXO XO  ,8
XOXO XXOO,4
XOXO XXO ,4
XOXO X O ,8
XOXO XX O,4
XOXO X XO,4 6
XOXO X  O,4 6 7
XOXO X   ,8
XOXOO XXO,5
XOXOO XX ,5
XOXOO X X,5 7
XOXOO X  ,
XOXO OXXO,4
XOXO OXX ,4
XOXO OXOX,4
XOXO OX X,4
XOXO OX  ,4
XOXO  XOX,4
XOXO  XO ,4
XOXO  XXO,4
XOXO  X O,4
XOXO  X  ,4
XOXOO OXX,5
XOXOO  XX,5
XOXOO  X ,5
XOXO OOXX,4
XOXO O XX,4
XOXO O X ,4
XOXO  OXX,
XOXO  OX ,8
XOXO   XO,4 5 6
XOXO   X ,4 8
XOXOO   X,5
XOXO O  X,4
XOXO  O X,4 5
XOXO   OX,4 5
XOXO    X,
XOXO     ,4 8
XOXXOOOX ,8
XOXXOO XO,6
XOXXOO X ,6
XOXXOOO X,7
XOXXOO  X,7
XOXXOO   ,6
XOXXOXO O,7
XOXXOXO  ,7
XOXXO OXO,5
XOXXO OX ,5 8
XOXXO O X,7
XOXXO O  ,7
XOXXOX  O,7
XOXXO  XO,6
XOXXO   O,6
XOXXO    ,7
XOX OXOXO,3
XOX OXOX ,8
XOX OXO  ,8
XOX OXX O,7
XOX OX XO,3 6
XOX OX  O,7
XOX OX   ,7
XOX OOXXO,3
XOX OOXX ,3
XOX OOX X,3 7
XOX OOX  ,3
XOX O XXO,3
XOX O X O,3
XOX O X  ,7
XOX OOOXX,3
XOX OO XX,3
XOX OO X ,3
XOX O OXX,5
XOX O OX ,3 5 8
XOX O  XO,3 5 6
XOX O  X ,3 5 6 8
XOX OO  X,
XOX O O X,5
XOX O   X,7
XOX O    ,7
XOXXXOOO ,8
XOXXXOO O,7
XOXXXOO  ,8
XOXX OOXO,4
XOXX OOX ,4 8
XOXX OOOX,4
XOXX OO X,4
XOXX OO  ,4 7 8
XOXXXO OO,6
XOXXXO O ,
XOXX O OX,4
XOXX O O ,6
XOXXXO  O,6
XOXX O XO,6
XOXX O  O,6
XOXX O   ,6
XOX XOOXO,3
XOX XOOX ,8
XOX XOO  ,8
XOX XO O ,6 8
XOX XO XO,6
XOX XO  O,6
XOX XO   ,
XOX  OXOX,4
XOX  OXO ,3 4
XOX  OXXO,
XOX  OX O,3 4
XOX  OX  ,
XOX  OOXX,4
XOX  OOX ,3 4 8
XOX  O XO,6
XOX  O X ,4 6
XOX  OO X,4
XOX  O OX,4
XOX  O  X,4
XOX  O   ,4 6
XOXXX OO ,8
XOXX XOO ,4 8
XOXX  OOX,4
XOXX  OO ,
XOXXX O O,7
XOXX XO O,7
XOXX  OXO,4 5
XOXX  O O,7
XOXX  O  ,7
XOX XXOO ,8
XOX X OO ,8
XOX XXO O,7
