Board_State,Win_Moves,Draw_Moves,Lose_Moves
XOXOXOOX ,8,,
XOXOXO XO,6,,
XOXOXO X ,,,6 8
XOXOXO   ,6 7 8,,
XOXOXXOO ,8,,
XOXOXXO O,,7,
XOXOXXO  ,,8,7
XOXOX OXO,,5,
XOXOX OX ,,8,5
XOXOX O  ,8,5 7,
XOXOXX OO,6,,
XOXOXX O ,,,6 8
XOXOX  O ,5 6 8,,
XOXOXX  O,,6,7
XOXOX  XO,,6,5
XOXOX   O,6,5 7,
XOXOX    ,,,5 6 7 8
XOXOOXX O,,7,
XOXOOXX  ,7,8,
XOXOOXOX ,8,,
XOXOOX XO,,6,
XOXOOX X ,,8,6
XOXOOX   ,8,7,6
XOXO XOXO,,4,
XOXO XOX ,,8,4
XOXO XO  ,8,4 7,
XOXO XXOO,4,,
XOXO XXO ,4,,8
XOXO X O ,4 8,,6
XOXO XX O,,4,7
XOXO X XO,,4 6,
XOXO X  O,,4 6 7,
XOXO X   ,,8,4 6 7
XOXOO XXO,,5,
XOXOO XX ,5,8,
XOXOO X X,5 7,,
XOXOO X  ,,,5 7 8
XOXO OXXO,4,,
XOXO OXX ,4,,8
XOXO OXOX,4,,
XOXO OX X,4,,7
XOXO OX  ,4,,7 8
XOXO  XOX,4,,5
XOXO  XO ,4,,5 8
XOXO  XXO,,4,5
XOXO  X O,4,5 7,
XOXO  X  ,4,,5 7 8
XOXOO OXX,5,,
XOXOO  XX,5,,6
XOXOO  X ,,5,6 8
XOXO OOXX,4,,
XOXO O XX,4,,6
XOXO O X ,4,,6 8
XOXO  OXX,,,4 5
XOXO  OX ,8,4 5,
XOXO   XO,,4 5 6,
XOXO   X ,,4 8,5 6
XOXOO   X,5,,6 7
XOXO O  X,4,,6 7
XOXO  O X,4 5 7,,
XOXO   OX,4 5,,6
XOXO    X,,,4 5 6 7
XOXO     ,4 8,5 7,6
XOXXOOOX ,,8,
XOXXOO XO,6,,
XOXXOO X ,,6,8
XOXXOOO X,,7,
XOXXOO  X,7,6,
XOXXOO   ,6,7,8
XOXXOXO O,,7,
XOXXOXO  ,7,8,
XOXXO OXO,,5,
XOXXO OX ,,5 8,
XOXXO O X,7,5,
XOXXO O  ,,7,5 8
XOXXOX  O,7,6,
XOXXO  XO,,6,5
XOXXO   O,6,7,5
XOXXO    ,7,6,5 8
XOX OXOXO,,3,
XOX OXOX ,,8,3
XOX OXO  ,8,7,3
XOX OXX O,7,3,
XOX OX XO,,3 6,
XOX OX  O,,7,3 6
XOX OX   ,7,8,3 6
XOX OOXXO,3,,
XOX OOXX ,3,,8
XOX OOX X,3 7,,
XOX OOX  ,3,,7 8
XOX O XXO,,3,5
XOX O X O,3,7,5
XOX O X  ,3 7,,5 8
XOX OOOXX,,3,
XOX OO XX,3,6,
XOX OO X ,,3,6 8
XOX O OXX,,5,3
XOX O OX ,,3 5 8,
XOX O  XO,,3 5 6,
XOX O  X ,,3 5 6 8,
XOX OO  X,,,3 6 7
XOX O O X,5,7,3
XOX O   X,5 7,,3 6
XOX O    ,,7,3 5 6 8
XOXXXOOO ,8,,
XOXXXOO O,,7,
XOXXXOO  ,,8,7
XOXX OOXO,,4,
XOXX OOX ,,4 8,
XOXX OOOX,4,,
XOXX OO X,,4,7
XOXX OO  ,,4 7 8,
XOXXXO OO,6,,
